year,raceId,boatType,classId,place,value
2018,ADK90,Canoe,oc4stockmix,1,17601
2004,ADK90,Canoe,oc1stdmaster,2,17614
2014,ADK90,Canoe,oc4,6,17622
2011,ADK90,Canoe,oc1rec,1,17625
2021,ADK90,Canoe,oc4stockmix,3,17627
2022,ADK90,Canoe,oc1stockmaster,1,17627.1
2014,ADK90,Canoe,oc2stockmix,1,17628
2024,ADK90,Kayak,k1sportmaster,2,17628.4
2004,ADK90,Canoe,oc1amveteran,1,17629
2001,ADK90,Kayak,k1master,2,17630
2010,ADK90,Canoe,oc4,6,17630
2008,ADK90,Canoe,oc2stock,1,17636
2025,ADK90,Canoe,oc4stockmix,1,17643.7
2004,ADK90,Canoe,oc1stdmaster,1,17645
2001,ADK90,Canoe,oc2rac,6,17646
2008,ADK90,Canoe,oc2ammixmaster,2,17648
2016,ADK90,Kayak,k1tourmaster,1,17649
2004,ADK90,Canoe,oc2stdmaster,6,17649
2010,ADK90,Canoe,oc2am,3,17655
2006,ADK90,Kayak,k2,2,17655
2005,ADK90,Canoe,oc2stockmaster,1,17664
2023,ADK90,Canoe,oc4stockgoldnc,1,17686.5
2004,ADK90,Canoe,oc2stdmaster,5,17692
2003,ADK90,Canoe,oc2am,3,17697
2003,ADK90,Canoe,oc2am,4,17697
2024,ADK90,Canoe,oc4stockmix,3,17697.8
2005,ADK90,Canoe,oc2ammix,3,17699
2009,ADK90,Kayak,k2mix,1,17703
2014,ADK90,Canoe,oc4,5,17706
2008,ADK90,Kayak,k1tourveteran,2,17712
2011,ADK90,Canoe,open,NA,17712
2025,ADK90,Canoe,oc4stockmixmaster,1,17715.7
2017,ADK90,Canoe,oc4mix,4,17716
2009,ADK90,Canoe,oc2ammix,1,17718
2012,ADK90,Canoe,oc2ammix,1,17720
2018,ADK90,Unknown,voyageur,1,17720
2011,ADK90,Canoe,oc4mix,10,17730
2013,ADK90,Canoe,oc4,9,17740
2022,ADK90,Canoe,oc4stockmix,3,17741.4
2004,ADK90,Canoe,open,NA,17746
2016,ADK90,Canoe,oc2am,1,17748
2011,ADK90,Canoe,oc4,4,17749
2022,ADK90,Kayak,k1tourmaster,1,17750.4
2006,ADK90,Canoe,oc2stockmaster,3,17751
2005,ADK90,Canoe,oc2ammaster,8,17751
2019,ADK90,Canoe,oc2stockveteran,1,17757
2007,ADK90,Canoe,oc2ammix,1,17760
2017,ADK90,Canoe,oc4mix,5,17761
2000,ADK90,Kayak,k1master,2,17768
2006,ADK90,Canoe,oc2stockmaster,4,17769
2004,ADK90,Kayak,k1unlimitedmaster,4,17770
2010,ADK90,Canoe,oc4mix,3,17770
2008,ADK90,Kayak,k1women,3,17772
2005,ADK90,Canoe,voyageur,2,17773
2008,ADK90,Canoe,oc2stock,2,17774
2008,ADK90,Canoe,oc2ammixmaster,3,17777
2003,ADK90,Canoe,oc4,1,17790
2013,ADK90,Canoe,open,NA,17790
2000,ADK90,Canoe,oc2racmixmaster,4,17791
2013,ADK90,Canoe,oc4,8,17799
2014,ADK90,Canoe,oc4mix,6,17801
2013,ADK90,Canoe,oc2stockmaster,1,17801
2016,ADK90,Canoe,oc4mix,5,17802
2008,ADK90,Kayak,k2,3,17804
2008,ADK90,Canoe,oc4,4,17807
2005,ADK90,Canoe,oc2stockmaster,2,17807
2022,ADK90,Kayak,k1unlimitedveteran,1,17808.2
2024,ADK90,Canoe,oc4stockmix,4,17809.8
2022,ADK90,Kayak,k2,1,17809.8
2003,ADK90,Canoe,oc2ammaster,7,17810
2010,ADK90,Kayak,k2mix,1,17818
2024,ADK90,Canoe,oc2openmix,1,17820.4
2021,ADK90,Canoe,oc2mix,2,17822
2024,ADK90,Kayak,k1sportmaster,4,17823.5
2024,ADK90,Kayak,k1sportmaster,3,17825
2016,ADK90,Canoe,oc4mix,3,17835
2014,ADK90,Canoe,open,NA,17837
2006,ADK90,Unknown,voyageur,3,17838
2005,ADK90,Canoe,oc2stockmaster,3,17838
2001,ADK90,Canoe,oc2racmaster,4,17840
2011,ADK90,Kayak,k1unlimited,2,17851
2008,ADK90,Canoe,oc4mix,3,17851
2004,ADK90,Canoe,oc2am,7,17857
2012,ADK90,Canoe,oc4,2,17859
2024,ADK90,Unknown,solorecveteran,1,17860.5
2013,ADK90,Kayak,k2mix,3,17862
2004,ADK90,Canoe,oc2recmaster,1,17863
2009,ADK90,Canoe,oc2stockmaster,1,17866
2022,ADK90,Kayak,k1tourmaster,2,17866.4
2014,ADK90,Canoe,oc4,7,17868
2010,ADK90,Canoe,oc2ammaster,2,17871
2000,ADK90,Canoe,oc2racmaster,6,17877
2019,ADK90,Kayak,k1tourmaster,3,17882
2019,ADK90,Canoe,oc4stockmix,4,17884
2024,ADK90,Canoe,oc4openmix,4,17885.5
2013,ADK90,Kayak,k1unlimited,3,17887
2006,ADK90,Canoe,oc2am,8,17888
2008,ADK90,Canoe,voyageur,6,17890
2008,ADK90,Canoe,oc1am,1,17891
2022,ADK90,Canoe,oc2stockmixmaster,1,17892.9
2019,ADK90,Canoe,oc2am,1,17896
2011,ADK90,Canoe,oc2stockmaster,2,17896
2025,ADK90,Canoe,oc1open,1,17896.2
2024,ADK90,Canoe,oc4stockmaster,2,17897.9
2022,ADK90,Canoe,oc4stockmaster,1,17898.1
2003,ADK90,Kayak,k1unlimitedveteran,1,17899
