year,raceId,boatType,classId,place,value,temp,rain,water
2013,ADK90,Canoe,oc1recwomen,1,22234,57.4,0.047,4.6
2009,ADK90,Guideboat,g2,3,22235,60,0.185,4.03
2008,ADK90,Canoe,open,NA,22236,70.2,0.323,4.58
2017,ADK90,Canoe,open,NA,22236,52.8,0.02,5.46
2024,ADK90,Canoe,oc2stock,18,22236.3,59.6,0.768,4.26
2022,ADK90,Guideboat,g2,2,22238.6,67.5,0,3.91
2013,ADK90,Canoe,open,NA,22239,57.4,0.047,4.6
2014,ADK90,Canoe,oc1stock,4,22240,68.9,0.067,4.01
2023,ADK90,Unknown,voyageur,4,22241.9,65.2,0,5
2018,ADK90,Canoe,oc2ammix,2,22248,58.7,0,2.76
2010,ADK90,Canoe,oc2am,5,22248,58.4,0,3.89
2025,ADK90,Canoe,oc2stock,10,22248.4,60.5,0.134,3.08
2019,ADK90,Unknown,open,36,22249,59.3,0.008,4.97
2018,ADK90,Canoe,open,NA,22249,58.7,0,2.76
2010,ADK90,Canoe,oc2stockmix,5,22253,58.4,0,3.89
2018,ADK90,Canoe,open,NA,22257,58.7,0,2.76
2011,ADK90,Guideboat,g2,7,22261,62.9,0,7.28
2015,ADK90,Canoe,open,NA,22267,63,0.185,2.75
2017,ADK90,Guideboat,g2,3,22270,52.8,0.02,5.46
2012,ADK90,Canoe,open,NA,22275,69.1,0.516,4.29
2016,ADK90,Kayak,k1tourmaster,7,22275,69.6,0.004,3.19
2021,ADK90,Kayak,k1unlimited,4,22277,60,0,5.13
2013,ADK90,Canoe,open,NA,22278,57.4,0.047,4.6
2017,ADK90,Canoe,open,NA,22280,52.8,0.02,5.46
2017,ADK90,Canoe,oc2rec,4,22285,52.8,0.02,5.46
2021,ADK90,Canoe,oc1stockveteran,1,22288,60,0,5.13
2012,ADK90,Canoe,open,NA,22291,69.1,0.516,4.29
2025,ADK90,Canoe,oc2stockmaster,4,22291.1,60.5,0.134,3.08
2018,ADK90,Canoe,open,NA,22293,58.7,0,2.76
2022,ADK90,Canoe,oc2jrsr,2,22294.3,67.5,0,3.91
2014,ADK90,Canoe,open,NA,22299,68.9,0.067,4.01
2010,ADK90,Guideboat,g1women,1,22303,58.4,0,3.89
2018,ADK90,Canoe,oc2rec,1,22305,58.7,0,2.76
2012,ADK90,Canoe,open,NA,22307,69.1,0.516,4.29
2012,ADK90,Guideboat,g2,6,22307,69.1,0.516,4.29
2015,ADK90,Canoe,oc4women,3,22308,63,0.185,2.75
2011,ADK90,Canoe,open,NA,22309,62.9,0,7.28
2017,ADK90,Guideboat,g2,2,22312,52.8,0.02,5.46
2019,ADK90,Canoe,oc2stockveteran,4,22314,59.3,0.008,4.97
2017,ADK90,Canoe,open,NA,22314,52.8,0.02,5.46
2015,ADK90,Canoe,opensuperveteran,1,22315,63,0.185,2.75
2009,ADK90,Canoe,open,NA,22317,60,0.185,4.03
2014,ADK90,Canoe,open,NA,22317,68.9,0.067,4.01
2008,ADK90,Canoe,oc2recmix,1,22319,70.2,0.323,4.58
2009,ADK90,Canoe,oc2rec,3,22321,60,0.185,4.03
2022,ADK90,Unknown,voyageurstandard,1,22323.5,67.5,0,3.91
2019,ADK90,Unknown,open,47,22326,59.3,0.008,4.97
